tournament_id,year,team_name,matches,wins,losses,draws,goals_for,goals_against,goal_difference,knockout_matches,win_rate,goals_for_per_match,goals_against_per_match,team_id,team_code,region_name,confederation_code,is_host,position,performance,stage_score_from_label,stage_score,stage_reached,champion,finalist,semifinalist,reached_knockout,pre_wc_matches,pre_wc_points_per_match,pre_wc_win_rate,pre_wc_goal_diff_per_match,pre_wc_goals_for_per_match,pre_wc_goals_against_per_match,historical_tournaments_before,historical_matches_before,historical_wins_before,historical_best_stage_before
WC-2022,2022,Brazil,5,3,2,0,8,3,5,2,0.6,1.6,0.6,T-09,BRA,South America,CONMEBOL,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,8,2.75,0.875,3.0,3.375,0.375,21,109,76,6
WC-1962,1962,Bulgaria,3,0,2,1,1,7,-6,0,0.0,0.3333333333333333,2.3333333333333335,T-10,BGR,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,6,2.0,0.6666666666666666,0.0,1.1666666666666667,1.1666666666666667,0,0,0,6
WC-1966,1966,Bulgaria,3,0,3,0,1,8,-7,0,0.0,0.3333333333333333,2.6666666666666665,T-10,BGR,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,8,2.0,0.625,-0.25,1.875,2.125,1,3,0,1
WC-1970,1970,Bulgaria,3,0,2,1,5,9,-4,0,0.0,1.6666666666666667,3.0,T-10,BGR,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,13,1.0769230769230769,0.23076923076923078,-0.3076923076923077,1.4615384615384615,1.7692307692307692,2,6,0,1
WC-1974,1974,Bulgaria,3,0,1,2,2,5,-3,0,0.0,0.6666666666666666,1.6666666666666667,T-10,BGR,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,13,1.5384615384615385,0.46153846153846156,0.7692307692307693,1.9230769230769231,1.1538461538461537,3,9,0,1
WC-1986,1986,Bulgaria,4,0,2,2,2,6,-4,1,0.0,0.5,1.5,T-10,BGR,Europe,UEFA,0,,round of 16,2,2,Round of 16 / second group,0,0,0,1,12,1.4166666666666667,0.4166666666666667,0.3333333333333333,1.3333333333333333,1.0,4,12,0,1
WC-1994,1994,Bulgaria,7,4,3,0,10,11,-1,4,0.5714285714285714,1.4285714285714286,1.5714285714285714,T-10,BGR,Europe,UEFA,0,4.0,third-place match,4,4,Semi-finals/top four,0,0,1,1,7,1.5714285714285714,0.2857142857142857,0.5714285714285714,1.7142857142857142,1.1428571428571428,5,16,0,2
WC-1998,1998,Bulgaria,3,0,2,1,1,7,-6,0,0.0,0.3333333333333333,2.3333333333333335,T-10,BGR,Europe,UEFA,0,,group stage,1,1,Group stage,0,0,0,0,8,1.625,0.5,0.0,1.125,1.125,6,23,4,4
WC-1982,1982,Cameroon,3,0,0,3,1,1,0,0,0.0,0.3333333333333333,0.3333333333333333,T-11,CMR,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,12,1.75,0.4166666666666667,0.6666666666666666,1.4166666666666667,0.75,0,0,0,4
WC-1990,1990,Cameroon,5,3,2,0,7,9,-2,2,0.6,1.4,1.8,T-11,CMR,Africa,CAF,0,,quarter-finals,3,3,Quarter-finals,0,0,0,1,15,1.9333333333333333,0.6,0.26666666666666666,1.1333333333333333,0.8666666666666667,1,3,0,1
WC-1994,1994,Cameroon,3,0,2,1,3,11,-8,0,0.0,1.0,3.6666666666666665,T-11,CMR,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,11,1.6363636363636365,0.45454545454545453,0.7272727272727273,1.4545454545454546,0.7272727272727273,2,8,3,3
WC-1998,1998,Cameroon,3,0,1,2,2,5,-3,0,0.0,0.6666666666666666,1.6666666666666667,T-11,CMR,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,22,1.5454545454545454,0.4090909090909091,0.18181818181818182,1.2272727272727273,1.0454545454545454,3,11,3,3
WC-2002,2002,Cameroon,3,1,1,1,2,3,-1,0,0.3333333333333333,0.6666666666666666,1.0,T-11,CMR,Africa,CAF,0,,group stage,1,1,Group stage,0,0,0,0,18,1.8333333333333333,0.5,0.6111111111111112,1.3333333333333333,0.7222222222222222,4,14,3,3
